cidade_id,cidade,uf
1,"SAO PAULO",SP
2,OSASCO,SP
3,CARAPICUIBA,SP
4,BARUERI,SP
5,"SANTANA DE PARNAIBA",SP
6,"PIRAPORA DO BOM JESUS",SP
7,JANDIRA,SP
8,ITAPEVI,SP
9,COTIA,SP
10,"VARGEM GRANDE PAULISTA",SP
11,"TABOAO DA SERRA",SP
12,"EMBU DAS ARTES",SP
14,"ITAPECERICA DA SERRA",SP
15,"SAO LOURENCO DA SERRA",SP
16,EMBU-GUACU,SP
17,JUQUITIBA,SP
18,GUARULHOS,SP
19,ARUJA,SP
20,"SANTA ISABEL",SP
21,MAIRIPORA,SP
22,CAIEIRAS,SP
23,CAJAMAR,SP
24,"FRANCO DA ROCHA",SP
25,"FRANCISCO MORATO",SP
26,"FERRAZ DE VASCONCELOS",SP
27,POA,SP
28,ITAQUAQUECETUBA,SP
29,SUZANO,SP
30,"MOGI DAS CRUZES",SP
31,GUARAREMA,SP
32,BIRITIBA-MIRIM,SP
33,SALESOPOLIS,SP
34,"SANTO ANDRE",SP
35,MAUA,SP
36,"RIBEIRAO PIRES",SP
37,"RIO GRANDE DA SERRA",SP
38,"SAO CAETANO DO SUL",SP
39,"SAO BERNARDO DO CAMPO",SP
41,DIADEMA,SP
42,SANTOS,SP
43,BERTIOGA,SP
44,"SAO VICENTE",SP
45,GUARUJA,SP
46,CUBATAO,SP
47,"SAO SEBASTIAO",SP
48,ILHABELA,SP
49,CARAGUATATUBA,SP
50,UBATUBA,SP
51,"PRAIA GRANDE",SP
52,MONGAGUA,SP
53,ITANHAEM,SP
54,PERUIBE,SP
55,ITARIRI,SP
56,"PEDRO DE TOLEDO",SP
57,JUQUIA,SP
58,MIRACATU,SP
59,REGISTRO,SP
60,"SETE BARRAS",SP
61,IGUAPE,SP
62,"ILHA COMPRIDA",SP
63,PARIQUERA-ACU,SP
64,JACUPIRANGA,SP
65,CAJATI,SP
66,"BARRA DO TURVO",SP
67,ELDORADO,SP
68,CANANEIA,SP
69,TAUBATE,SP
70,TREMEMBE,SP
71,LAGOINHA,SP
72,"SAO LUIZ DO PARAITINGA",SP
73,"REDENCAO DA SERRA",SP
74,"NATIVIDADE DA SERRA",SP
75,"SAO JOSE DOS CAMPOS",SP
76,"MONTEIRO LOBATO",SP
77,PARAIBUNA,SP
78,JAMBEIRO,SP
79,CACAPAVA,SP
80,JACAREI,SP
81,IGARATA,SP
82,"SANTA BRANCA",SP
83,PINDAMONHANGABA,SP
84,"SANTO ANTONIO DO PINHAL",SP
85,"CAMPOS DO JORDAO",SP
86,"SAO BENTO DO SAPUCAI",SP
87,GUARATINGUETA,SP
88,POTIM,SP
89,CUNHA,SP
90,APARECIDA,SP
91,ROSEIRA,SP
92,LORENA,SP
93,CANAS,SP
94,PIQUETE,SP
95,"CACHOEIRA PAULISTA",SP
96,SILVEIRAS,SP
97,CRUZEIRO,SP
98,LAVRINHAS,SP
99,QUELUZ,SP
100,AREIAS,SP
101,"SAO JOSE DO BARREIRO",SP
102,BANANAL,SP
103,ARAPEI,SP
104,"BRAGANCA PAULISTA",SP
105,TUIUTI,SP
106,VARGEM,SP
107,ATIBAIA,SP
108,"BOM JESUS DOS PERDOES",SP
109,"NAZARE PAULISTA",SP
110,PIRACAIA,SP
111,JOANOPOLIS,SP
112,"PEDRA BELA",SP
113,PINHALZINHO,SP
114,CAMPINAS,SP
115,PAULINIA,SP
116,COSMOPOLIS,SP
117,"ARTUR NOGUEIRA",SP
118,"ENGENHEIRO COELHO",SP
119,SUMARE,SP
120,HORTOLANDIA,SP
121,"MONTE MOR",SP
122,JUNDIAI,SP
123,"VARZEA PAULISTA",SP
124,"CAMPO LIMPO PAULISTA",SP
125,JARINU,SP
126,ITATIBA,SP
127,MORUNGABA,SP
128,VALINHOS,SP
129,VINHEDO,SP
130,LOUVEIRA,SP
131,ITUPEVA,SP
132,ITU,SP
133,CABREUVA,SP
134,SALTO,SP
135,INDAIATUBA,SP
136,"ELIAS FAUSTO",SP
137,CAPIVARI,SP
138,RAFARD,SP
139,MOMBUCA,SP
140,"NOVA ODESSA",SP
141,"RIO DAS PEDRAS",SP
142,PIRACICABA,SP
143,SALTINHO,SP
144,"SANTA BARBARA DOESTE",SP
145,AMERICANA,SP
146,LIMEIRA,SP
147,CORDEIROPOLIS,SP
148,IRACEMAPOLIS,SP
149,"RIO CLARO",SP
150,"SANTA GERTRUDES",SP
151,CHARQUEADA,SP
152,"SAO PEDRO",SP
153,"AGUAS DE SAO PEDRO",SP
154,ITIRAPINA,SP
155,IPEUNA,SP
156,CORUMBATAI,SP
157,ANALANDIA,SP
158,"SAO CARLOS",SP
