bairro_id,cidade_id,bairro,uf
1,1,SE,SP
2,1,CENTRO,SP
3,1,BRAS,SP
4,1,REPUBLICA,SP
5,1,LUZ,SP
6,1,"PONTE PEQUENA",SP
7,1,"BOM RETIRO",SP
8,1,CANINDE,SP
9,1,"BARRA FUNDA",SP
10,1,"VARZEA DA BARRA FUNDA",SP
11,1,"PARQUE INDUSTRIAL TOMAS EDSON",SP
12,1,"SANTA CECILIA",SP
13,1,PERDIZES,SP
14,1,"CAMPOS ELISEOS",SP
15,1,"SANTA EFIGENIA",SP
16,1,"VILA BUARQUE",SP
17,1,HIGIENOPOLIS,SP
18,1,CONSOLACAO,SP
19,1,PACAEMBU,SP
20,1,SUMARE,SP
21,1,"CERQUEIRA CESAR",SP
22,1,"BELA VISTA",SP
23,1,LIBERDADE,SP
24,1,"MORRO DOS INGLESES",SP
25,1,"JARDIM PAULISTA",SP
26,1,"JARDIM AMERICA",SP
27,1,"JARDIM PAULISTANO",SP
28,1,JARDINS,SP
29,1,"JARDIM EUROPA",SP
30,1,"ITAIM BIBI",SP
31,1,PINHEIROS,SP
32,1,CAMBUCI,SP
33,1,MOOCA,SP
34,1,ACLIMACAO,SP
35,1,"VILA DEODORO",SP
36,1,"JARDIM DA GLORIA",SP
37,1,"VILA MONUMENTO",SP
38,1,SANTANA,SP
39,1,"PARQUE ANHEMBI",SP
40,1,"VILA BIANCA",SP
41,1,CARANDIRU,SP
42,1,"VILA GUILHERME",SP
43,1,"VILA MATIAS",SP
44,1,"JARDIM SAO PAULO",SP
45,1,"VILA PAULICEIA",SP
46,1,"PARQUE VELOSO",SP
47,1,"VILA PAIVA",SP
48,1,"VILA ISOLINA MAZZEI",SP
49,1,"VILA LEONOR",SP
50,1,"VILA MAZZEI",SP
51,1,"VILA MARIA BAIXA",SP
52,1,"VILA MARIA",SP
53,1,"VILA MARIA ALTA",SP
54,1,"JARDIM JAPAO",SP
55,1,"VILA SABRINA",SP
56,1,"PARQUE NOVO MUNDO",SP
57,1,"JARDIM GUANCA",SP
58,1,"JARDIM BRASIL ",SP
59,1,"JARDIM JULIETA",SP
60,1,"JARDIM ANDARAI",SP
61,1,"CONJUNTO PROMORAR VILA MARIA III",SP
62,1,"PARQUE VILA MARIA",SP
63,1,"PROMORAR VILA MARIA",SP
64,1,"VILA GUSTAVO",SP
65,1,"VILA CONSTANCA",SP
66,1,"VILA EDE",SP
67,1,"VILA MEDEIROS",SP
68,1,"JARDIM NEILA",SP
69,1,"VILA SAO CAMILO",SP
70,1,"VILA NIVI",SP
71,1,"PARQUE EDU CHAVES",SP
72,1,"JARDIM MODELO",SP
73,1,JACANA,SP
74,1,"JARDIM CABUCU",SP
75,1,"PARADA INGLESA",SP
76,1,"PARQUE VITORIA",SP
77,1,"VILA DOM PEDRO II",SP
78,1,TUCURUVI,SP
79,1,"PARQUE RODRIGUES ALVES",SP
80,1,"VILA PEDROSA",SP
81,1,TREMEMBE,SP
82,1,"VILA NOVA CAROLINA",SP
83,1,"VILA CAROLINA",SP
84,1,"SANTA TERESINHA",SP
85,1,"VILA SANTA TEREZINHA ",SP
86,1,GUAPIRA,SP
87,1,"JARDIM GUAPIRA",SP
88,1,"VILA GERMINAL",SP
89,1,"VILA NELSON",SP
90,1,"VILA NILO",SP
91,1,"CHACARA SAO JOAO",SP
92,1,"VILA NOVA GALVAO",SP
93,1,"CONJUNTO HABITACIONAL JOVA RURAL",SP
94,1,"JARDIM SAO LUIS ",SP
95,1,"TRES CRUZES",SP
96,1,"SITIO BARROCADA",SP
97,1,"JARDIM POLETI",SP
98,1,"MATA FRIA",SP
99,1,"VILA AYROSA",SP
100,1,FURNAS,SP
101,1,PROTENDIT,SP
102,1,"FLOR DA CANTAREIRA",SP
103,1,"VILA NOVA MAZZEI",SP
104,1,"VILA CACHOEIRA",SP
105,1,"VILA BRASIL",SP
106,1,"JARDIM TREMEMBE",SP
107,1,"SITIO DO PIQUERI",SP
108,1,"JARDIM JACANA",SP
109,1,"VILA PAULISTANA",SP
110,1,"JARDIM JOAMAR",SP
111,1,"PARQUE CASA DE PEDRA",SP
112,1,"VILA ZILDA ",SP
113,1,"VILA PAULISTA",SP
114,1,"VILA FIDALGO",SP
115,1,"JARDIM ATALIBA LEONEL",SP
116,1,"VILA DORNA",SP
117,1,"JARDIM SANDRA MARIA",SP
118,1,"VILA DONA AUGUSTA",SP
119,1,"VILA VIRGINIA",SP
120,1,"JARDIM FRANCISCO MENTEM",SP
121,1,"JARDIM MARTINS SILVA",SP
122,1,"JARDIM JOANA DARC",SP
123,1,"JARDIM CRISTINA",SP
124,1,"JARDIM PIQUERI",SP
125,1,"JARDIM FILHOS DA TERRA",SP
126,1,"JARDIM APUANA",SP
127,1,"JARDIM FELICIDADE ",SP
128,1,"JARDIM DAS PEDRAS",SP
129,1,"JARDIM PORTAL I E II",SP
130,1,"JARDIM PALMARES ",SP
131,1,"JARDIM HEBROM",SP
132,1,"AGUA FRIA",SP
133,1,MANDAQUI,SP
134,1,"VILA AURORA ",SP
135,1,"BARRO BRANCO ",SP
136,1,"JARDIM FRANCA",SP
137,1,"VILA SAO GERALDO",SP
138,1,"VILA ALBERTINA",SP
139,1,"JARDIM LEONOR MENDES DE BARROS",SP
140,1,"PARQUE PALMAS DO TREMEMBE",SP
141,1,"JARDIM DAS ROSAS ",SP
142,1,BORTOLANDIA,SP
143,1,"PARQUE RAMOS FREITAS",SP
144,1,"JARDIM YARA",SP
145,1,"JARDIM MARIA NAZARE",SP
146,1,"JARDIM VIRGINIA BIANCA",SP
147,1,"JARDIM SANTO ALBERTO",SP
148,1,"JARDIM DAYSY",SP
149,1,"JARDIM IBIRATIBA",SP
150,1,"JARDIM FONTALIS",SP
151,1,"ASSOCIACAO SOBRADINHO",SP
152,1,"JARDIM CAMPO LIMPO ",SP
153,1,"JARDIM FLOR DE MAIO",SP
154,1,"JARDIM RECANTO VERDE",SP
155,1,"JARDIM DA CACHOEIRA",SP
156,1,"JARDIM ESTRELA DALVA",SP
157,1,"JARDIM UNISERVE",SP
158,1,"JARDIM SAO JOAO ",SP
159,1,"JARDIM CORISCO",SP
160,1,"JARDIM FRANCISCO MENDES",SP
161,1,"JARDIM VILA RICA",SP
162,1,"JARDIM CRUZ DO CORISCO",SP
163,1,"JARDIM CORISCO NOVO",SP
164,1,"JARDIM BRASIL NOVO",SP
165,1,"JARDIM LABITARY",SP
166,1,"JARDIM VALPARAISO",SP
167,1,"NUCLEO DO ENGORDADOR",SP
168,1,"JARDIM BIBI",SP
169,1,"VILA IRMAOS ARNONI",SP
170,1,"VILA MARIETA",SP
171,1,"JARDIM DENYSE",SP
172,1,CANTAREIRA,SP
173,1,"VILA ROSA",SP
174,1,"HORTO FLORESTAL",SP
175,1,"JARDIM DENISE",SP
176,1,HORTO,SP
177,1,"VILA MARIZA MAZZEI",SP
178,1,"VILA VITORIO MAZZEI",SP
179,1,IMIRIM,SP
180,1,"VILA ROMERO",SP
181,1,"PARQUE MANDAQUI",SP
182,1,"JARDIM CARLU",SP
183,1,"JARDIM PARAISO",SP
184,1,"CONJUNTO RESIDENCIAL SANTA TEREZINHA",SP
185,1,"JARDIM TERESA CRISTINA",SP
186,1,"JARDIM ORMENDINA",SP
187,1,"CONJUNTO DOS BANCARIOS",SP
188,1,"JARDIM SANTA INES",SP
189,1,"LAUZANE PAULISTA",SP
190,1,"VILA BASILEIA",SP
191,1,"VILA NOVA CACHOEIRINHA",SP
192,1,"JARDIM DO COLEGIO ",SP
193,1,"VILA GUACA",SP
194,1,"JARDIM PICOLO",SP
195,1,"VILA ESTER ",SP
196,1,"CHORA MENINO",SP
197,1,"VILA CELESTE",SP
198,1,"JARDIM VIRGINIA",SP
199,1,"VILA ROQUE",SP
200,1,CACHOEIRINHA,SP
201,1,"VILA PITA",SP
202,1,"CASA VERDE BAIXA",SP
203,1,"CASA VERDE",SP
204,1,"VILA BARUEL",SP
205,1,"VILA ESPANHOLA",SP
206,1,"JARDIM DAS LARANJEIRAS",SP
207,1,"JARDIM LARANJEIRAS",SP
208,1,"CASA VERDE MEDIA",SP
209,1,"JARDIM SAO BENTO",SP
210,1,"PARQUE PERUCHE",SP
211,1,"VILA VANDA",SP
212,1,"JARDIM SAO MIGUEL",SP
213,1,"JARDIM S KEMEL",SP
214,1,"JARDIM ROSSIN",SP
215,1,"VILA GOUVEIA",SP
